TW,LW,PP,WOC,Title Artist
1,new,1,1,Stefania – Kalush Orchestra
2,new,2,1,Hear The Anthem – Skofka
3,new,3,1,Swallows – Chico & Qatoshi
4,new,4,1,Thoughts – Artem Pivovarov & Dorofeeva
5,new,5,1,Good Evening (Where Are You From?) – Probass ∆ Hardi
6,21,6,85,Going Home – Kalush feat. Skofka
7,new,7,1,Ukraine Will Win – Oleksandr Ponomaryov & Mykhaylo Khoma & Taras Topolia & Yevhen Koshovyi & Yuriy Tkach & Petro Chornyy
8,new,8,1,"Oh, Red Viburnum In The Meadow (Army Remix) – The Kiffness feat. Boomboks"
9,new,9,1,Vespers (Good Day Everybody) – 100lycya & Skylerr
10,new,10,1,That's Good – Cheev
11,new,11,1,U Mene Nemaye Domu – Odyn v kanoe
12,new,12,1,The AFU Will Help – Chico & Qatoshi
13,new,13,1,We'll Not Forget And We'll Not Forgive – Skofka
14,new,14,1,Wild Field – Yarmak feat. Alisa
15,new,15,1,Near The Poplar – Shumei
16,new,16,1,Raspberry Lada – Gayazov$ Brother$
17,new,17,1,Or Together? – Kola
18,new,18,1,Kalush Parties – Kalush feat. Tember Blanche
19,new,19,1,Wont Forget You – Shouse
20,new,20,1,Vanka Standing Up – Masha Kondratenko
21,56,21,43,The Sun Of Monaco – Lyusya Chebotina
22,new,22,1,Not About Us – Alis Shuka
23,55,23,59,Cherry – Wellboy
24,124,24,45,Mirage (UA Version) – Artem Pivovarov
25,new,25,1,How Long – Tove Lo
26,new,26,1,My Dear – alyona alyona feat. Jerry Heil
27,re,27,3,Marichka – Patsyki Z Franeka
28,new,28,1,2step – Ed Sheeran feat. Antytila
29,4,29,86,Frivolous – SKAY
30,new,30,1,It Will Be Spring – Max Barskih
31,-29,2,91,Rampampam – Minelli
32,new,32,1,Shot A Friend – Holy Molly
33,new,33,1,#Moscovite Ugly – Jerry Heil feat. Verka Serduchka
34,new,34,1,Ukrainian Rage (Bella Ciao cover) – Khrystyna Soloviy
35,new,35,1,Bones – Imagine Dragons
36,new,36,1,Good Afternoon Everybody – Myusli UA feat. Vasia Charizma
37,new,37,1,This Dream – Lesya Nikityuk & Stepan Hiha
38,new,38,1,At The Bars – Anna Asti
39,new,39,1,Cold Heart (Pnau Remix) – Elton John & Dua Lipa & Pnau
40,new,40,1,Ukrainian Brothers – Shablya
41,new,41,1,Fine – Kalush & Skofka
42,new,42,1,Warriors Of Light – Lyapis Trubetskoy
43,new,43,1,My Country – Arsen Mirzoyan
44,new,44,1,Where Did You Go? – Jax Jones feat. MNEK
45,new,45,1,Abcdefu – Gayle
46,new,46,1,"Good morning, Ukraine – Numer 482"
47,-38,9,57,Geese – Wellboy
48,new,48,1,Leave Before You Love Me – Marshmello & Jonas Brothers
49,new,49,1,"Vova, Fuck Them – Myusli UA feat. MC Papa"
50,new,50,1,Kupala – alyona alyona & Jerry Heil & ela.
51,new,51,1,Up – Inna
52,new,52,1,"Old Photos (OST I, Pobyeda and Berlin) – Monatik"
53,new,53,1,On The Road – Skofka
54,new,54,1,To The Occupier – MBreeze
55,new,55,1,Enemy (Radio Edit) – Angy Kreyda
56,new,56,1,Infinity – Jaymes Young
57,new,57,1,The Motto – Tiesto & Ava Max
58,new,58,1,City of Spring – Okean El`zy & Odyn v kanoe
59,new,59,1,Don't Be Shy – Tiesto & Karol G
60,new,60,1,My Ukraine – TamerlanAlena & Andi Vax
61,70,61,75,Love Tonight – Shouse
62,-41,20,95,Your Love (9pm) – ATB & Topic & A7S
63,92,63,70,Love Again – Dua Lipa
64,new,64,1,"Oh, On The Mountain – Artem Pivovarov"
65,24,65,75,Stranger – Olivia Addams
66,new,66,1,It Don't Matter – Alok feat. Sofi Tukker & Inna
67,new,67,1,Oh On Oh – Skofka
68,43,68,60,Coffee – MamaRika
69,new,69,1,Dark Water – Tayanna
70,new,70,1,Black & White – Zozulya
71,new,71,1,Ily (I Love You Baby) – Surf Mesa feat. Emilee Flood
72,new,72,1,My Way – Cassette
73,new,73,1,Nozzy Bossy – Wellboy
74,new,74,1,Enemy – Angy Kreyda
