id,song,artist,week,valence,track_id,lyrics
46,Чути гімн,SKOFKA,2023-01-06,0.422,4Yzlz45QgjUKZmN2KrK4AP,
47,Там у тополі,"Artem Pivovarov, NK",2023-01-06,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
48,Щоб не було,DOROFEEVA,2023-01-06,0.381,7krNeHssTmY3ijTox4OBbD,
49,ЗА ДЕНЬГИ ДА,INSTASAMKA,2023-01-06,0.314,4PGzoH4hL1vORGOTxHdWjB,
50,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-01-06,0.324,2vHzOWRKYPLu8umRPIFuOq,
51,Гарно так,CHEEV,2023-01-06,0.798,3yRDM5tBS7H8HG64y3x9kw,
52,Монро,Slavik Pogosov,2023-01-06,0.118,5sQpS3fyw6VBpPioNlrCn1,
53,Батьківщина,"SKOFKA, KALUSH",2023-01-06,0.502,33s2G0h9EOdyaKlKr15ngE,
54,Рандеву,Artem Pivovarov,2023-01-06,0.684,3R02XSW0lDknR5ZVFiTVrc,
55,High Come Down,Chico & Coolwadda,2023-01-06,0.667,4gc19xZ8SvONdW6ZVHlYSO,
56,Вишнi,Wellboy,2023-01-06,0.635,1xHs6PLjlvqihewyitoP3A,
57,Біля серця,KOLA,2023-01-06,0.598,20SSuP71R4A88qHQu4BKY6,
58,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-01-06,0.336,64Qnw6jO2dnkjV9una5peq,
59,Додому,Wellboy,2023-01-06,0.219,6gtK39SLszESqJFu2SkId3,
60,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-01-06,0.702,5F9CLUvuRyku0ZdT4ljPQt,
61,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-01-06,0.492,2TTuBKeQWoukafWDPufIlq,
62,Bloody Mary,Lady Gaga,2023-01-06,0.432,11BKm0j4eYoCPPpCONAVwA,
63,Voin,"YARMAK, TARABAROVA",2023-01-06,0.358,6mxPj26zVw51cqeRxxNOed,
64,Який ти козак,"Анна Трінчер, POSITIFF",2023-01-06,0.463,56jFeULddnrAOxtlLmTCFC,
65,Ой на горі,Artem Pivovarov,2023-01-06,0.469,1kTtW9kzGGxbQISdhe8pzG,
66,Ванька-Встанька,Маша Кондратенко,2023-01-06,0.62,00ZFbk7oYrtx8nup5y58BO,
67,Won't Forget You (Edit),Shouse,2023-01-06,0.555,3I10tZ5MgEMo4WryCNJkZQ,
68,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,2023-01-06,0.468,05eZlxyjbkHMPCnunUasCS,
69,MIDDLE OF THE NIGHT,Elley Duhé,2023-01-06,0.0899,58HvfVOeJY7lUuCqF0m3ly,
70,In The Shadows Of Ukraine (feat. The Rasmus),"KALUSH, Kalush Orchestra, The Rasmus",2023-01-06,0.758,5dSOtyf70O6fG1xm4xFeTD,
71,Shot a friend,Holy Molly,2023-01-06,0.463,27yUNsQo2CPPokNw69M23X,
72,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-01-06,0.348,4iwY29UTTw5N9ZGtMsAqCF,
73,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-01-06,0.707,7HxWZggiHyGWT9ZSmWzcxu,
74,Кришталь,NK,2023-01-06,0.609,1ixJTPRUzQfa7a1wwhLs9B,
75,МОЯ КРАЇНА,"YARMAK, Tof",2023-01-06,0.395,3ND8vamqbTuI1QDhoP6ekH,
76,Враже (енджі крейда cover),Damidas,2023-01-06,0.12,0ekzVQWGaD6oHBINV8JY5h,
77,По барам,ANNA ASTI,2023-01-06,0.428,4zOLAk87gHl97sbqmntbJG,
78,Незламна,ЛЮСЯ КАВА,2023-01-06,0.276,3uFBrdXhDkmuN6xxUgS9rs,
79,Не забудем і не пробачим,SKOFKA,2023-01-06,0.543,6KvQKU21c1ZGEoOajKfim0,
80,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-01-06,0.678,04M7w39gAe2CUkf9AXJKCZ,
81,КАК MOMMY,INSTASAMKA,2023-01-06,0.386,0R848ny5sEpVuR1tMXZNFr,
82,"Там, де",Ivan NAVI,2023-01-06,0.814,3mYqEtddAhUoLHkPLdARQn,
83,Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ",2023-01-06,0.387,61BaxM1NIcadLu3gtWm2uT,
84,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2023-01-06,0.238,3nqQXoyQOWXiESFLlDF1hG,
85,As It Was,Harry Styles,2023-01-06,0.662,4Dvkj6JhhA12EX05fT7y2e,
86,Враже (енджі крейда cover),Damidas,2023-01-06,0.12,0ekzVQWGaD6oHBINV8JY5h,
87,Сіґеле-міґеле,NAZVA,2023-01-06,0.118,6Xa97kTbaQKlf0KMTY2qGJ,
88,Моя Украïна,"TamerlanAlena, Andi Vax",2023-01-06,0.442,5vmTyrE2mSg9wvAFNLRaOr,
89,Воїни світла,Lyapis Trubetskoy,2023-01-06,0.403,64hFcUEAhSODWUm4ZtqEaH,
90,MMM,Minelli,2023-01-06,0.661,2wtjKTnfYimgKi9cPxPBPV,
